"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"Grove Park","MD","Baltimore","Baltimore City","Baltimore",4342,120000,0.00334448160535117,0.00586756077116513,-0.0639625585023401,-0.0185839250574136,0.0115322807233118,"2008-04","2008-Q2",151200,-0.206349206349206,"2006-04"
2015-08-31,"Belle Morris","TN","Knoxville","Knox","Knoxville",4343,62000,-0.008,-0.0127388535031847,-0.0236220472440945,-0.0188815042737357,0.000161433564449753,"2009-11","2009-Q4",72600,-0.146005509641873,"2008-07"
2015-08-31,"Edgemont","OH","Dayton","Montgomery","Dayton",4344,35700,-0.00557103064066852,-0.0110803324099723,-0.0165289256198347,-0.0190313391151369,-0.0486746074113693,"2008-02","2008-Q1",61000,-0.414754098360656,
2015-08-31,"Broad Bay Colony","VA","Virginia Beach","Virginia Beach City","Virginia Beach",4345,620900,-0.00289063754616991,-0.00305073859987155,-0.0394492574257426,-0.0269280832925585,-0.016406897527163,"2006-07","2006-Q3",793400,-0.217418704310562,"2004-11"
2015-08-31,"Bradley Estates","WI","Milwaukee","Milwaukee","Milwaukee",4346,49800,-0.0423076923076923,-0.0514285714285714,-0.126315789473684,-0.0862981211810349,-0.0513878352828464,"2007-11","2007-Q4",95500,-0.478534031413613,"1998-02"
2015-08-31,"Riveridge","WA","Portland","Clark","Vancouver",4347,292500,0.00896860986547085,0.0342998585572843,0.0971492873218305,0.0404449928345634,0.0103808536922128,"2006-07","2006-Q3",297400,-0.0164761264290518,"2006-03"
2015-08-31,"Neely","AL","Mobile","Mobile","Mobile",4348,42900,0.00704225352112676,0.0412621359223301,0.21875,-0.00368843617986137,0.00429557006860404,"2007-06","2007-Q2",48800,-0.120901639344262,"2006-02"
2015-08-31,"Westerly Hills","NC","Charlotte","Mecklenburg","Charlotte",4349,69200,0.00727802037845706,0.0221565731166913,0.0102189781021898,0.00291550138629804,-0.0170681049026745,"2007-07","2007-Q3",86500,-0.2,"2000-03"
2015-08-31,"Cabrini Green","IL","Chicago","Cook","Chicago",4350,238600,-0.0172981878088962,-0.0520460866110449,-0.0456,-0.00592829539088346,,"2009-08","2009-Q3",272500,-0.124403669724771,
2015-08-31,"Country Lane Estates","MO","Kansas City","Jackson","Kansas City",4351,155400,0.0143603133159269,0.0651130911583276,0.0143603133159269,0.0247776929753929,,"2009-06","2009-Q2",173100,-0.102253032928943,
2015-08-31,"Hawley Farms","WI","Milwaukee","Milwaukee","Milwaukee",4352,98500,-0.00101419878296146,-0.014014014014014,-0.0501446480231437,-0.0269201988565103,-0.0381284895326836,"2006-03","2006-Q1",149900,-0.342895263509006,"2001-03"
2015-08-31,"Parkridge","TN","Knoxville","Knox","Knoxville",4353,70400,0.00715307582260372,0.0129496402877698,0.00427960057061341,-0.00225735937435712,0.0103687222107089,"2012-04","2012-Q2",73500,-0.0421768707482993,"2011-07"
2015-08-31,"Carter Park","TX","Dallas-Fort Worth","Tarrant","Fort Worth",4354,59300,-0.00336134453781513,-0.00503355704697987,0.0920810313075506,0.0363694522997988,0.00101747519400019,"2007-01","2007-Q1",64500,-0.0806201550387597,"2006-02"
2015-08-31,"Academy Baker Ave","GA","Augusta","Richmond","Augusta",4355,72000,0.0198300283286119,0.0635155096011817,0.111111111111111,-0.0168873445300528,0,"2008-09","2008-Q3",80400,-0.104477611940299,"2005-08"
2015-08-31,"Morgan Heights","WI","Milwaukee","Milwaukee","Milwaukee",4356,127900,-0.0046692607003891,-0.0131172839506173,-0.00621600621600622,-0.0227543888334815,-0.0253251293770747,"2006-05","2006-Q2",173900,-0.264519838987924,"2002-05"
2015-08-31,"Swann Estates","FL","Tampa","Hillsborough","Tampa",4357,353800,0.00482817381425731,0.0157909847832328,0.0650210716435882,0.0835240454265664,0.00714091840423903,"2015-08","2015-Q3",353800,0,"2015-08"
2015-08-31,"Sparr Heights","CA","Los Angeles","Los Angeles","Glendale",4358,722700,-0.000967652750898535,0.00249687890137328,0.0833458252136112,0.0288825779502648,0.0042487196511416,"2006-07","2006-Q3",747600,-0.0333065810593901,"2005-12"
