"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-08-31,"52411","IA","Cedar Rapids","Linn","Cedar Rapids",9187,274400,0.00329067641681901,0.0125461254612546,0.0319669048514479,0.0124802327447209,0.00823252575382849,"2015-08","2015-Q3",274400,0,"2015-08"
2015-08-31,"81413","CO",,"Delta","Cedaredge",9188,203000,0.00148001973359645,0.0226700251889169,0.155378486055777,0.00520340289256827,0.0167683432099714,"2007-06","2007-Q2",216700,-0.0632210429164744,"2006-10"
2015-08-31,"25387","WV","Charleston","Kanawha","Charleston",9189,54400,-0.00366300366300366,-0.0018348623853211,-0.0127041742286751,-0.0110229558367193,0.0216765795970264,"2011-12","2011-Q4",62300,-0.126805778491172,"2009-01"
2015-08-31,"11516","NY","New York","Nassau","Cedarhurst",9190,591600,-0.000675675675675676,-0.00537995965030262,0.0235294117647059,0.0171422777787644,-0.00777087443165392,"2007-01","2007-Q1",679600,-0.12948793407887,"2005-02"
2015-08-31,"52333","IA","Iowa City","Johnson","Solon",9191,246500,0.00407331975560081,0.00900532132623823,0.0283687943262411,0.0293550834862542,0.0204631226699896,"2015-08","2015-Q3",246500,0,"2015-08"
2015-08-31,"12158","NY","Albany","Albany","Bethlehem",9192,189400,0.000528262017960909,-0.015080603224129,-0.00210748155953635,-0.0159929611519278,0.00349826723924052,"2010-08","2010-Q3",205300,-0.0774476376035071,"2005-10"
2015-08-31,"23192","VA","Richmond","Hanover","Montpelier",9193,248100,-0.00160965794768612,-0.00040290088638195,0.00976800976800977,0.017487476816022,0.0086172079745912,"2006-12","2006-Q4",261400,-0.0508798775822494,"2006-05"
2015-08-31,"41016","KY","Cincinnati","Kenton","Ludlow",9194,85100,0.00948991696322657,0.0277777777777778,0.0506172839506173,-0.00348845714333246,0,"2010-08","2010-Q3",86600,-0.0173210161662818,"2009-07"
2015-08-31,"07465","NJ","New York","Passaic","Wanaque",9195,304400,0.00861497680583168,0.0170397594386903,0.00661375661375661,-0.00415275188061892,-0.0192738078135725,"2007-01","2007-Q1",390200,-0.219887237314198,"2003-10"
2015-08-31,"03841","NH","Boston","Rockingham","Hampstead",9196,303300,-0.00492125984251968,-0.00131708923279552,0.0383430332078055,0.029629738956505,-0.0103926108700728,"2006-04","2006-Q2",344200,-0.118826263800116,"2004-01"
2015-08-31,"13316","NY","Utica","Oneida","Town of Camden",9197,101900,-0.000980392156862745,0.0129224652087475,0.0345177664974619,0.0396387170528527,0.0304400339088065,"2014-11","2014-Q4",102400,-0.0048828125,"2014-10"
