Sold Price,,,,,,,List Price,,,,,,,,Compare,
RegionName,City,State,Metro,CountyName,2015-01,2015-02,RegionName,City,State,Metro,CountyName,2015-01,2015-02,,,
94804,Richmond,CA,San Francisco,Contra Costa,267750,295000,94804,Richmond,CA,San Francisco,Contra Costa,318000,320000,,TRUE,-25000
94044,Pacifica,CA,San Francisco,San Mateo,708500,687000,94044,Pacifica,CA,San Francisco,San Mateo,699888,749000,,TRUE,-62000
95023,Hollister,CA,San Jose,San Benito,423750,423550,95023,Hollister,CA,San Jose,San Benito,469999,475000,,TRUE,-51450
94404,Foster City,CA,San Francisco,San Mateo,,931153.8462,94404,Foster City,CA,San Francisco,San Mateo,869000,820000,,TRUE,111153.8462
95126,San Jose,CA,San Jose,Santa Clara,670750,693750,95126,San Jose,CA,San Jose,Santa Clara,599999,648000,,TRUE,45750
94578,San Leandro,CA,San Francisco,Alameda,,407846.1538,94578,San Leandro,CA,San Francisco,Alameda,429000,479000,,TRUE,-71153.8462
94523,Pleasant Hill,CA,San Francisco,Contra Costa,522375,516375,94523,Pleasant Hill,CA,San Francisco,Contra Costa,549000,549800,,TRUE,-33425
94040,Mountain View,CA,San Jose,Santa Clara,,1300000,94040,Mountain View,CA,San Jose,Santa Clara,1198000,1398000,,TRUE,-98000
94551,Livermore,CA,San Francisco,Alameda,539500,532250,94551,Livermore,CA,San Francisco,Alameda,569000,550000,,TRUE,-17750
94303,Palo Alto,CA,San Jose,Santa Clara,,754307.6923,94303,Palo Alto,CA,San Jose,Santa Clara,648888,675000,,TRUE,79307.6923
95129,San Jose,CA,San Jose,Santa Clara,,1360923.077,95129,San Jose,CA,San Jose,Santa Clara,1288000,1295000,,TRUE,65923.0769
94583,San Ramon,CA,San Francisco,Contra Costa,749500,771500,94583,San Ramon,CA,San Francisco,Contra Costa,799000,788000,,TRUE,-16500
94582,San Ramon,CA,San Francisco,Contra Costa,794750,892000,94582,San Ramon,CA,San Francisco,Contra Costa,939900,930000,,TRUE,-38000
95128,San Jose,CA,San Jose,Santa Clara,578250,631450,95128,San Jose,CA,San Jose,Santa Clara,685000,749000,,TRUE,-117550
94560,Newark,CA,San Francisco,Alameda,575250,573500,94560,Newark,CA,San Francisco,Alameda,539000,599888,,TRUE,-26388
94401,San Mateo,CA,San Francisco,San Mateo,688500,661000,94401,San Mateo,CA,San Francisco,San Mateo,699000,698950,,TRUE,-37950
94131,San Francisco,CA,San Francisco,San Francisco,,1271538.462,94131,San Francisco,CA,San Francisco,San Francisco,989000,1195000,,TRUE,76538.4615
94531,Antioch,CA,San Francisco,Contra Costa,338900,339850,94531,Antioch,CA,San Francisco,Contra Costa,349900,362000,,TRUE,-22150
94014,Daly City,CA,San Francisco,San Mateo,651050,632950,94014,Daly City,CA,San Francisco,San Mateo,625000,605000,,TRUE,27950
95116,San Jose,CA,San Jose,Santa Clara,452000,456750,95116,San Jose,CA,San Jose,Santa Clara,450000,449950,,TRUE,6800
