RegionName,City,State,Metro,CountyName,zesFeb,soldFeb
93550,Palmdale,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,185000,182550
91335,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,415000,383850
93535,Lancaster,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,172000,160000
93536,Lancaster,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,269900,255500
90660,Pico Rivera,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,365000,340000
90731,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,480000,461538.4615
90640,Montebello,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,399999,366000
91702,Azusa,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,359900,346000
91343,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,425000,411750
91745,Hacienda Heights,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,585000,555500
90034,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,675000,687307.6923
91344,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,535000,483875
91767,Pomona,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,334900,299475
90638,La Mirada,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,479000,462500
93551,Palmdale,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,304990,285500
90703,Cerritos,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,599000,615769.2308
91765,Diamond Bar,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,675000,559600
90503,Torrance,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,650000,566923.0769
90065,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,559000,558076.9231
91306,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,420000,397250
90278,Redondo Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,799000,747250
91016,Monrovia,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,549000,522650
91748,Rowland Heights,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,635000,539850
90024,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,979000,969000
90808,Long Beach,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,569900,553900
